| Run on Mon Jun  1 14:28:16 2026
|
|gmx_MMPBSA Version=v1.6.3 based on MMPBSA.py v.16.0
|Complex Structure file:                                          md_rep3_60.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-167"
|Ligand mask:                    ":168"
|Ligand residue name is:         "DOL"
|
|Calculations performed using 401 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    559.37         19.26      19.26         0.96       0.96
ANGLE                  1326.39         25.68      25.68         1.28       1.28
DIHED                  1730.29         14.02      14.02         0.70       0.70
UB                      153.37          5.69       5.69         0.28       0.28
IMP                      86.03          6.49       6.49         0.32       0.32
CMAP                    -60.79          7.68       7.68         0.38       0.38
VDWAALS               -1132.43         13.55      13.55         0.68       0.68
EEL                  -10099.34         58.14      58.14         2.90       2.90
1-4 VDW                 554.88         10.44      10.44         0.52       0.52
1-4 EEL                8626.44         38.39      38.39         1.92       1.92
EGB                   -2268.68         42.43      42.43         2.12       2.12
ESURF                    78.02          1.19       1.19         0.06       0.06

GGAS                   1744.22         80.67      57.47         4.03       2.87
GSOLV                 -2190.66         42.45      41.99         2.12       2.10

TOTAL                  -446.44         91.16      34.70         4.55       1.73

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    549.69         19.13      19.13         0.96       0.96
ANGLE                  1308.14         25.53      25.53         1.28       1.28
DIHED                  1679.97         13.87      13.87         0.69       0.69
UB                      149.28          5.55       5.55         0.28       0.28
IMP                      85.36          6.45       6.45         0.32       0.32
CMAP                    -60.79          7.68       7.68         0.38       0.38
VDWAALS               -1113.47         13.21      13.21         0.66       0.66
EEL                  -10122.58         57.84      57.84         2.89       2.89
1-4 VDW                 538.35         10.23      10.23         0.51       0.51
1-4 EEL                8676.74         38.48      38.48         1.92       1.92
EGB                   -2270.04         41.50      41.50         2.07       2.07
ESURF                    77.51          0.95       0.95         0.05       0.05

GGAS                   1690.68         80.29      56.17         4.01       2.80
GSOLV                 -2192.53         41.51      41.21         2.07       2.06

TOTAL                  -501.85         90.39      34.27         4.51       1.71

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      9.68          2.28       2.28         0.11       0.11
ANGLE                    18.25          2.85       2.85         0.14       0.14
DIHED                    50.33          2.02       2.02         0.10       0.10
UB                        4.10          0.87       0.87         0.04       0.04
IMP                       0.67          0.74       0.74         0.04       0.04
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -3.21          1.22       1.22         0.06       0.06
EEL                      27.30          1.05       1.05         0.05       0.05
1-4 VDW                  16.53          1.62       1.62         0.08       0.08
1-4 EEL                 -50.30          1.85       1.85         0.09       0.09
EGB                     -18.65          0.57       0.57         0.03       0.03
ESURF                     2.73          0.02       0.02         0.00       0.00

GGAS                     73.35          5.23       4.25         0.26       0.21
GSOLV                   -15.92          0.57       0.57         0.03       0.03

TOTAL                    57.43          5.26       4.18         0.26       0.21

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          2.15       0.00         0.11       0.00
ΔANGLE                   -0.00          2.71       0.00         0.14       0.00
ΔDIHED                   -0.00          1.87       0.00         0.09       0.00
ΔUB                       0.00          0.73       0.00         0.04       0.00
ΔIMP                     -0.00          0.70       0.00         0.03       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -15.75          0.89       5.28         0.04       0.26
ΔEEL                     -4.06          0.75       4.05         0.04       0.20
Δ1-4 VDW                 -0.00          1.41       0.00         0.07       0.00
Δ1-4 EEL                 -0.00          1.76       0.00         0.09       0.00
ΔEGB                     20.02          0.36       7.47         0.02       0.37
ΔESURF                   -2.22          0.23       0.86         0.01       0.04

ΔGGAS                   -19.81          1.54       7.91         0.08       0.39
ΔGSOLV                   17.80          0.43       6.71         0.02       0.34

ΔTOTAL                   -2.01          1.60       2.79         0.08       0.14
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
