| Run on Mon Jun  1 12:49:45 2026
|
|gmx_MMPBSA Version=v1.6.3 based on MMPBSA.py v.16.0
|Complex Structure file:                                          md_rep3_60.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-167"
|Ligand mask:                    ":168"
|Ligand residue name is:         "DOL"
|
|Calculations performed using 401 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    559.84         20.29      20.29         1.01       1.01
ANGLE                  1327.08         25.82      25.82         1.29       1.29
DIHED                  1733.54         14.86      14.86         0.74       0.74
UB                      152.82          5.35       5.35         0.27       0.27
IMP                      86.20          6.49       6.49         0.32       0.32
CMAP                    -62.72          8.65       8.65         0.43       0.43
VDWAALS               -1132.38         15.11      15.11         0.75       0.75
EEL                  -10054.51         67.61      67.61         3.38       3.38
1-4 VDW                 554.87         10.43      10.43         0.52       0.52
1-4 EEL                8658.41         38.61      38.61         1.93       1.93
EGB                   -2335.11         44.24      44.24         2.21       2.21
ESURF                    78.37          1.07       1.07         0.05       0.05

GGAS                   1823.16         88.57      63.69         4.42       3.18
GSOLV                 -2256.74         44.25      43.71         2.21       2.18

TOTAL                  -433.59         99.00      36.74         4.94       1.83

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    550.59         20.07      20.07         1.00       1.00
ANGLE                  1308.90         25.80      25.80         1.29       1.29
DIHED                  1682.45         14.70      14.70         0.73       0.73
UB                      148.69          5.30       5.30         0.26       0.26
IMP                      85.57          6.50       6.50         0.32       0.32
CMAP                    -62.72          8.65       8.65         0.43       0.43
VDWAALS               -1120.19         14.62      14.62         0.73       0.73
EEL                  -10084.15         67.53      67.53         3.37       3.37
1-4 VDW                 538.48         10.28      10.28         0.51       0.51
1-4 EEL                8708.88         38.73      38.73         1.93       1.93
EGB                   -2321.02         43.84      43.84         2.19       2.19
ESURF                    76.71          0.97       0.97         0.05       0.05

GGAS                   1756.50         88.37      63.28         4.41       3.16
GSOLV                 -2244.32         43.85      43.37         2.19       2.17

TOTAL                  -487.82         98.65      36.43         4.93       1.82

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      9.25          2.28       2.28         0.11       0.11
ANGLE                    18.18          2.61       2.61         0.13       0.13
DIHED                    51.09          1.85       1.85         0.09       0.09
UB                        4.13          0.83       0.83         0.04       0.04
IMP                       0.63          0.59       0.59         0.03       0.03
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -3.82          1.19       1.19         0.06       0.06
EEL                      27.63          1.06       1.06         0.05       0.05
1-4 VDW                  16.39          1.55       1.55         0.08       0.08
1-4 EEL                 -50.47          1.86       1.86         0.09       0.09
EGB                     -18.83          0.52       0.52         0.03       0.03
ESURF                     2.73          0.02       0.02         0.00       0.00

GGAS                     73.03          4.99       4.22         0.25       0.21
GSOLV                   -16.10          0.52       0.51         0.03       0.03

TOTAL                    56.93          5.02       4.20         0.25       0.21

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          2.06       0.00         0.10       0.00
ΔANGLE                    0.00          2.59       0.00         0.13       0.00
ΔDIHED                   -0.00          1.69       0.00         0.08       0.00
ΔUB                      -0.00          0.77       0.00         0.04       0.00
ΔIMP                      0.00          0.58       0.00         0.03       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                 -8.37          0.71       3.56         0.04       0.18
ΔEEL                      2.00          0.98       2.38         0.05       0.12
Δ1-4 VDW                  0.00          1.40       0.00         0.07       0.00
Δ1-4 EEL                  0.00          1.73       0.00         0.09       0.00
ΔEGB                      4.75          0.12       3.18         0.01       0.16
ΔESURF                   -1.07          0.07       0.52         0.00       0.03

ΔGGAS                    -6.37          1.54       4.74         0.08       0.24
ΔGSOLV                    3.68          0.14       2.84         0.01       0.14

ΔTOTAL                   -2.70          1.55       2.44         0.08       0.12
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
